timestamp	MAC_board       	RSSI	distance_real	distance_detected
1544094280297	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094280297	30:ae:a4:1b:c8:58	-54	1.764100	1.098541
1544094280297	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094280271	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094280271	30:ae:a4:1b:c8:58	-54	1.764100	1.098541
1544094280271	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094286540	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094286515	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094286540	30:ae:a4:1b:c8:58	-54	1.764100	1.098541
1544094286515	30:ae:a4:1b:c8:58	-54	1.764100	1.098541
1544094286540	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094286515	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094292837	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094292837	30:ae:a4:1b:c8:58	-53	1.764100	1.000000
1544094292837	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094292863	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094298982	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094292863	30:ae:a4:1b:c8:58	-53	1.764100	1.000000
1544094298982	30:ae:a4:1b:c8:58	-53	1.764100	1.000000
1544094292863	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094298982	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094299008	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094299008	30:ae:a4:1b:c8:58	-52	1.764100	0.910298
1544094299008	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094305091	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094305091	30:ae:a4:1b:c8:58	-52	1.764100	0.910298
1544094305117	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094305091	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094305117	30:ae:a4:1b:c8:58	-51	1.764100	0.828643
1544094305117	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094311565	24:0a:c4:0a:f1:7c	-70	1.993470	4.941713
1544094311565	30:ae:a4:1b:c8:58	-53	1.764100	1.000000
1544094311601	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094311565	30:ae:a4:3b:a2:d8	-62	2.736960	2.329952
1544094311601	30:ae:a4:1b:c8:58	-52	1.764100	0.910298
1544094311601	30:ae:a4:3b:a2:d8	-61	2.736960	2.120951
1544094317657	24:0a:c4:0a:f1:7c	-66	1.993470	3.393222
1544094317657	30:ae:a4:1b:c8:58	-52	1.764100	0.910298
1544094317657	30:ae:a4:3b:a2:d8	-59	2.736960	1.757511
1544094317683	24:0a:c4:0a:f1:7c	-65	1.993470	3.088844
1544094317683	30:ae:a4:1b:c8:58	-52	1.764100	0.910298
1544094317683	30:ae:a4:3b:a2:d8	-58	2.736960	1.599859
1544094323906	24:0a:c4:0a:f1:7c	-67	1.993470	3.727594
1544094323932	24:0a:c4:0a:f1:7c	-69	1.993470	4.498433
1544094323906	30:ae:a4:1b:c8:58	-54	1.764100	1.098541
1544094323932	30:ae:a4:1b:c8:58	-53	1.764100	1.000000
